Execute Script? (Admin Only),Script File Name,Run As UserName,TWGQA2D,successs,error
True,GB-2313,SystemIntegrationUser,True,False,Script failed to execute
True,GB-2313_1,BillingStatementUser,True,False,Script not Executed
True,GB-2313_2,BillingStatementUser,True,False,Script not Executed
True,GB-2313_3,BillingStatementUser,True,False,Script not Executed
True,GB-2313_4,BillingStatementUser,True,False,Script not Executed
True,GB-2313_5,BillingStatementUser,True,False,Script not Executed
True,GB-2314,BillingStatementUser,True,False,Script failed to execute
True,GB-2314_1,BillingStatementUser,True,False,Script not Executed
True,GB-2321,BillingStatementUser,True,False,System.QueryException: List has no rows for assignment to SObject
True,GB-2329,BillingStatementUser,True,False,System.QueryException: List has no rows for assignment to SObject
True,GB-2330_1,SystemIntegrationUser,True,False,Script failed to execute
True,GB-2330_2,SystemIntegrationUser,True,False,Script not Executed
True,GB-2330_3,SystemIntegrationUser,True,False,Script not Executed
True,GB-2337,SystemIntegrationUser,True,False,"System.AsyncException: The Apex job named ""AutoHubEventNotificationsBatch Schedule"" is already scheduled for execution."
True,GB-2338,SystemIntegrationUser,True,False,Script not Executed
True,GB-2339,SystemIntegrationUser,True,False,Script not Executed
True,GB-2340,SystemIntegrationUser,True,False,Script not Executed
True,GB-2341,SystemIntegrationUser,True,False,Script not Executed
True,GB-2342,SystemIntegrationUser,True,False,Script not Executed
