,Execute Script? (Admin Only),Script File Name,Run As UserName,TWGQA2D,successs,error
0,,GB-2313,SystemIntegrationUser,True,False,
5,,GB-2313_1,BillingStatementUser,True,True,
4,,GB-2313_2,BillingStatementUser,True,True,
3,,GB-2313_3,BillingStatementUser,True,True,
2,,GB-2313_4,BillingStatementUser,True,False,Script not executed due to GB-2313.apex fails to execute
1,,GB-2313_5,BillingStatementUser,True,True,
6,,GB-2314,BillingStatementUser,True,False,
7,,GB-2314_1,BillingStatementUser,True,False,Script not executed due to GB-2313.apex fails to execute
34,,GB-2315,BillingStatementUser,True,False,
35,,GB-2315_1,BillingStatementUser,True,True,
36,,GB-2315_2,BillingStatementUser,True,False,Script not executed due to GB-2313.apex fails to execute
37,,GB-2315_3,BillingStatementUser,True,True,
8,,GB-2317,SystemIntegrationUser,True,True,
9,,GB-2318,SystemIntegrationUser,True,True,
10,,GB-2319,BillingStatementUser,True,True,
11,,GB-2320,SystemIntegrationUser,True,True,
12,,GB-2321,SystemIntegrationUser,True,False,System.QueryException: List has no rows for assignment to SObject
13,,GB-2322,BillingStatementUser,True,True,
14,,GB-2323,SystemIntegrationUser,True,True,
15,,GB-2325,BillingStatementUser,True,True,
16,,GB-2326,BillingStatementUser,True,True,
17,,GB-2327,BillingStatementUser,True,True,
18,,GB-2328,SystemIntegrationUser,True,True,
19,,GB-2329,SystemIntegrationUser,True,False,System.QueryException: List has no rows for assignment to SObject
23,,GB-2330,BillingStatementUser,True,True,
22,,GB-2330_1,BillingStatementUser,True,False,
21,,GB-2330_2,BillingStatementUser,True,False,Script not executed due to GB-2315.apex fails to execute
20,,GB-2330_3,BillingStatementUser,True,False,Script not executed due to GB-2314.apex fails to execute
24,,GB-2331,SystemIntegrationUser,True,True,
25,,GB-2333,SystemIntegrationUser,True,True,
26,,GB-2335,BillingStatementUser,True,True,
27,,GB-2336,SystemIntegrationUser,True,True,
28,,GB-2337,BillingStatementUser,True,False,"System.AsyncException: The Apex job named ""AutoHubEventNotificationsBatch Schedule"" is already scheduled for execution."
29,,GB-2338,BillingStatementUser,True,False,"System.AsyncException: The Apex job named ""AutoHubEventNotificationsBatch Schedule"" is already scheduled for execution."
30,,GB-2339,BillingStatementUser,True,False,"System.DmlException: Insert failed. First exception on row 0; first error: FIELD_INTEGRITY_EXCEPTION, There is already an item in this list with the name F100: [Name]"
31,,GB-2340,SystemIntegrationUser,True,True,
32,,GB-2341,SystemIntegrationUser,True,True,
33,,GB-2342,BillingStatementUser,True,False,"System.DmlException: Update failed. First exception on row 0 with id aFP5C000000Gp7HWAS; first error: INVALID_CROSS_REFERENCE_KEY, invalid cross reference id: []"
