Execute Script? (Admin Only),Script File Name,Run As UserName,TWGQA2D,successs,error
True,GB-2313,SystemIntegrationUser,True,False,Script failed to execute
True,GB-2313_1,BillingStatementUser,True,False,Script not Executed
True,GB-2313_2,BillingStatementUser,True,False,Script not Executed
True,GB-2313_3,BillingStatementUser,True,False,Script not Executed
True,GB-2313_4,BillingStatementUser,True,False,Script not Executed
True,GB-2313_5,BillingStatementUser,True,False,Script not Executed
True,GB-2314,BillingStatementUser,True,False,Script not Executed
True,GB-2314_1,BillingStatementUser,True,False,Script not Executed
True,GB-2317,BillingStatementUser,True,False,Script not Executed
True,GB-2318,BillingStatementUser,True,False,Script not Executed
True,GB-2319,BillingStatementUser,True,False,Script not Executed
True,GB-2320,BillingStatementUser,True,False,Script not Executed
True,GB-2321,BillingStatementUser,True,False,Script not Executed
True,GB-2322,BillingStatementUser,True,False,Script not Executed
True,GB-2323,BillingStatementUser,True,False,Script not Executed
True,GB-2325,BillingStatementUser,True,False,Script not Executed
True,GB-2326,BillingStatementUser,True,False,Script not Executed
True,GB-2327,BillingStatementUser,True,False,Script not Executed
True,GB-2328,BillingStatementUser,True,False,Script not Executed
True,GB-2329,BillingStatementUser,True,False,Script not Executed
True,GB-2330,SystemIntegrationUser,True,False,Script not Executed
True,GB-2330_1,SystemIntegrationUser,True,False,Script not Executed
True,GB-2330_2,SystemIntegrationUser,True,False,Script not Executed
True,GB-2330_3,SystemIntegrationUser,True,False,Script not Executed
True,GB-2331,SystemIntegrationUser,True,False,Script not Executed
True,GB-2333,SystemIntegrationUser,True,False,Script not Executed
True,GB-2335,SystemIntegrationUser,True,False,Script not Executed
True,GB-2336,SystemIntegrationUser,True,False,Script not Executed
True,GB-2337,SystemIntegrationUser,True,False,Script not Executed
True,GB-2338,SystemIntegrationUser,True,False,Script not Executed
True,GB-2339,SystemIntegrationUser,True,False,Script not Executed
True,GB-2340,SystemIntegrationUser,True,False,Script not Executed
True,GB-2341,SystemIntegrationUser,True,False,Script not Executed
True,GB-2342,SystemIntegrationUser,True,False,Script not Executed
