Execute Script? (Admin Only),Script File Name,Run As UserName,TWGQA2D,PROD,,
,GB-2313,SystemIntegrationUser,TRUE,TRUE,,
,GB-2313_1,BillingStatementUser,TRUE,TRUE,,
,GB-2314,BillingStatementUser,TRUE,TRUE,,
,GB-2314_1,BillingStatementUser,TRUE,TRUE,,
,GB-2317,SystemIntegrationUser,TRUE,TRUE,,
,GB-2318,SystemIntegrationUser,TRUE,TRUE,,
,GB-2319,BillingStatementUser,TRUE,TRUE,,
,GB-2320,SystemIntegrationUser,TRUE,TRUE,,
,GB-2321,SystemIntegrationUser,TRUE,TRUE,,
,GB-2322,BillingStatementUser,TRUE,TRUE,,
,GB-2323,SystemIntegrationUser,TRUE,TRUE,,
,GB-2325,BillingStatementUser,TRUE,TRUE,,
,GB-2326,BillingStatementUser,TRUE,TRUE,,
,GB-2327,BillingStatementUser,TRUE,TRUE,,
,GB-2328,SystemIntegrationUser,TRUE,TRUE,,
,GB-2329,SystemIntegrationUser,TRUE,TRUE,,
,GB-2330,BillingStatementUser,TRUE,TRUE,,
,GB-2331,SystemIntegrationUser,TRUE,TRUE,,
,GB-2333,SystemIntegrationUser,TRUE,TRUE,,
,GB-2335,BillingStatementUser,TRUE,TRUE,,
,GB-2336,SystemIntegrationUser,TRUE,TRUE,,
,GB-2337,BillingStatementUser,TRUE,TRUE,,
,GB-2338,BillingStatementUser,TRUE,TRUE,,
,GB-2339,BillingStatementUser,TRUE,TRUE,,
,GB-2340,SystemIntegrationUser,TRUE,TRUE,,
,GB-2341,SystemIntegrationUser,TRUE,TRUE,,
,GB-2342,BillingStatementUser,TRUE,TRUE,,
